Name,NACA 2415
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.157000
99.740000,0.223000
98.930000,0.419000
97.590000,0.739000
95.733000,1.172000
93.377000,1.705000
90.548000,2.323000
87.275000,3.006000
83.591000,3.738000
79.536000,4.498000
75.154000,5.267000
70.490000,6.025000
65.595000,6.753000
60.524000,7.431000
55.331000,8.040000
50.074000,8.562000
44.811000,8.978000
39.597000,9.272000
34.448000,9.409000
29.469000,9.366000
24.722000,9.140000
20.261000,8.736000
16.142000,8.163000
12.411000,7.438000
9.112000,6.580000
6.282000,5.615000
3.952000,4.566000
2.145000,3.460000
0.878000,2.319000
0.161000,1.161000
0.000000,0.000000
0.387000,-1.106000
1.308000,-2.103000
2.750000,-2.985000
4.694000,-3.748000
7.115000,-4.387000
9.986000,-4.899000
13.275000,-5.282000
16.945000,-5.539000
20.960000,-5.676000
25.278000,-5.703000
29.857000,-5.633000
34.651000,-5.483000
39.612000,-5.272000
44.737000,-5.003000
49.926000,-4.673000
55.122000,-4.298000
60.267000,-3.893000
65.306000,-3.472000
70.184000,-3.048000
74.846000,-2.628000
79.242000,-2.222000
83.322000,-1.836000
87.040000,-1.477000
90.354000,-1.151000
93.225000,-0.862000
95.622000,-0.616000
97.516000,-0.419000
98.885000,-0.275000
99.712000,-0.187000
100.000000,-0.157000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.161000,0.580500
0.878000,0.340742
2.145000,0.422524
3.952000,0.554614
6.282000,0.723931
9.112000,0.918432
12.411000,1.128306
16.142000,1.340116
20.261000,1.541926
24.722000,1.720238
29.469000,1.863534
34.448000,1.959824
39.597000,1.999681
44.811000,1.989853
50.074000,1.949841
55.331000,1.879226
60.524000,1.779736
65.595000,1.653060
70.490000,1.502284
75.154000,1.333723
79.536000,1.151907
83.591000,0.963987
87.275000,0.776059
90.548000,0.595764
93.377000,0.429300
95.733000,0.283773
97.590000,0.163892
98.930000,0.074394
99.740000,0.019458
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
