Name,NACA0012H for VAWT from Sandia report SAND80-2114
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.126000
95.000000,0.807000
90.000000,1.448000
85.000000,2.053000
80.000000,2.623000
75.000000,3.160000
70.000000,3.664000
65.000000,4.133000
60.000000,4.563000
55.000000,4.952000
50.000000,5.294000
44.900000,5.588000
39.900000,5.808000
34.900000,5.951000
29.900000,6.002000
27.500000,6.048000
25.000000,6.084000
22.500000,6.100000
20.000000,6.087000
17.500000,6.033000
15.000000,5.924000
12.500000,5.740000
10.000000,5.454000
8.000000,5.121000
6.000000,4.655000
5.000000,4.351000
4.000000,3.982000
3.000000,3.522000
2.000000,2.925000
1.000000,2.074000
0.500000,1.438000
0.000000,0.000000
0.500000,-1.438000
1.000000,-2.074000
2.000000,-2.925000
3.000000,-3.522000
4.000000,-3.982000
5.000000,-4.351000
6.000000,-4.655000
8.000000,-5.121000
10.000000,-5.454000
12.500000,-5.740000
15.000000,-5.924000
17.500000,-6.033000
20.000000,-6.087000
22.500000,-6.100000
25.000000,-6.084000
27.500000,-6.048000
29.900000,-6.002000
34.900000,-5.951000
39.900000,-5.808000
44.900000,-5.588000
50.000000,-5.294000
55.000000,-4.952000
60.000000,-4.563000
65.000000,-4.133000
70.000000,-3.664000
75.000000,-3.160000
80.000000,-2.623000
85.000000,-2.053000
90.000000,-1.448000
95.000000,-0.807000
100.000000,-0.126000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.500000,0.000000
1.000000,0.000000
2.000000,0.000000
3.000000,0.000000
4.000000,0.000000
5.000000,0.000000
6.000000,0.000000
8.000000,0.000000
10.000000,0.000000
12.500000,0.000000
15.000000,0.000000
17.500000,0.000000
20.000000,0.000000
22.500000,0.000000
25.000000,0.000000
27.500000,0.000000
29.900000,0.000000
34.900000,0.000000
39.900000,0.000000
44.900000,0.000000
50.000000,0.000000
55.000000,0.000000
60.000000,0.000000
65.000000,0.000000
70.000000,0.000000
75.000000,0.000000
80.000000,0.000000
85.000000,0.000000
90.000000,0.000000
95.000000,0.000000
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
